District,F,M
AMURU,8.0,19.0
AMURU ,0.0,1.0
APAC,68.0,64.0
ARUA,33.0,63.0
Arua,0.0,2.0
BUGIRI,101.0,134.0
BUGWERI,118.0,145.0
BUK,0.0,1.0
BUKW0 ,22.0,31.0
BUKWO,262.0,361.0
BUKWO ,12.0,11.0
BUNYANGABU,2.0,4.0
BUSHENYI,27.0,23.0
BUTALEJA,50.0,81.0
BUTEBO,3.0,6.0
DOKOLO,25.0,45.0
GULU,10.0,9.0
HOIMA,157.0,182.0
IGANGA,73.0,50.0
ISINGIRO,124.0,92.0
Isingiro,0.0,1.0
KABALE,86.0,101.0
KABAROLE,70.0,92.0
KAGADI,57.0,90.0
KAGADI TOWN COUNCIL,0.0,1.0
KAKUMIRO,9.0,9.0
KAMWENGE,122.0,129.0
KAPCHORWA,130.0,160.0
KASANDA,55.0,46.0
KASESE,135.0,148.0
KASESE ,6.0,0.0
KASSANDA,0.0,1.0
KIBAALE,43.0,60.0
KIKUUBE,1.0,7.0
KIRYANDONGO,59.0,85.0
KOLE,46.0,51.0
KUMI,25.0,31.0
KWANIA,31.0,36.0
KYEGEGWA,20.0,11.0
KYENJOJO,103.0,125.0
KYOTERA,2.0,11.0
Kyotera,0.0,2.0
LIRA,90.0,100.0
MARACHA,8.0,3.0
MASAKA,9.0,12.0
MASINDI,80.0,98.0
MBALE,360.0,307.0
MPIGI,117.0,114.0
MUBENDE,50.0,54.0
Masaka,4.0,12.0
Mpigi,0.0,3.0
NAMUTUMBA,12.0,17.0
NDORWA,2.0,3.0
NEBBI,6.0,3.0
NTUNGAMO,1.0,2.0
NWOYA,16.0,11.0
Namutumba,1.0,1.0
Not Specified,45.0,32.0
OMORO,36.0,39.0
OYAM,45.0,68.0
Omoro,1.0,5.0
PALLISA,21.0,26.0
RAKAI,48.0,93.0
RUBANDA,305.0,276.0
RUBANDA TOWN COUNCIL,0.0,1.0
RUHAAMA,1.0,0.0
RUKIGA,14.0,22.0
SERERE,31.0,68.0
SOROTI,6.0,12.0
TORORO,80.0,157.0
Yumbe,0.0,1.0
